target_dates,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7
2019-01-23,0,0,0,0,0,0,0,0
2019-07-24,0,0,0,0,0,0,0,0
2019-08-21,0,0,0,0,0,0,0,0
2019-08-24,0,0,0,0,0,0,0,0
2019-08-25,0,0,0,0,0,0,0,0
2019-08-26,0,0,0,0,0,0,0,0
2019-08-29,0,0,0,0,0,0,0,0
2019-08-31,33,0,0,0,0,0,0,0
2019-09-01,265846,0,0,0,0,0,0,0
2019-09-02,218807,6761,0,0,0,0,0,0
2019-09-03,208567,11582,2167,0,0,0,0,0
2019-09-04,207250,12927,5700,1279,0,0,0,0
2019-09-05,211608,12305,6835,3502,1307,0,0,0
2019-09-06,225281,14673,8554,6819,6041,1962,0,0
2019-09-07,243573,18392,12402,11697,12723,10323,2007,0
2019-09-08,295174,14536,8015,5475,5402,4175,3850,1190
2019-09-09,234512,12409,8536,5944,4645,3099,2392,1777
2019-09-10,263524,16907,6765,5872,3988,3544,2827,2526
2019-09-11,345996,33534,18667,10726,8395,7222,5867,5083
2019-09-12,429406,48475,31062,22307,13373,11206,9692,9838
2019-09-13,520792,48307,26063,17879,15053,8370,6946,7328
2019-09-14,384148,30608,16081,9963,8768,6731,3980,3004
2019-09-15,318928,16106,8196,5809,4335,3097,2100,1427
2019-09-16,242479,13833,6948,5525,5009,3949,2615,1872
2019-09-17,239690,12629,4522,2856,2045,2471,2385,1685
2019-09-18,220203,16213,6089,2893,2014,1673,1639,1446
2019-09-19,213032,15529,8722,3985,2202,1471,1284,1487
2019-09-20,235525,20022,11895,9565,6678,3484,2195,1751
2019-09-21,307852,29063,19870,18625,16760,10023,4718,3129
2019-09-22,226240,13427,7865,6781,5983,5257,3354,1912
2019-09-23,216347,11887,7854,5478,3434,2872,2529,1346
2019-09-24,211938,12959,4312,3605,3449,2151,2116,1679
2019-09-25,215541,14689,6109,2632,2258,2222,2054,1493
2019-09-26,211617,14544,7568,4212,2417,1884,1905,1491
