target_dates,op_rate_0d_all_cars,op_rate_1d_all_cars,op_rate_2d_all_cars,op_rate_3d_all_cars,op_rate_4d_all_cars,op_rate_5d_all_cars,op_rate_6d_all_cars,op_rate_7d_all_cars,op_rate_0d_major_cars,op_rate_1d_major_cars,op_rate_2d_major_cars,op_rate_3d_major_cars,op_rate_4d_major_cars,op_rate_5d_major_cars,op_rate_6d_major_cars,op_rate_7d_major_cars,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7,is_clean,avg_precipitation,avg_temperature,month,year,week,weekday,is_weekend
2019-11-20,0.3161665023,0.1288290941,0.07344963343,0.04798347722,0.04150133557,0.03583680787,0.02863263429,0.02360230637,0.3541568077,0.1332835484,0.07841624506,0.05133454993,0.04303101339,0.03712440798,0.03019078187,0.02472432819,192444,13361,5067,2278,2211,1697,1650,1318,0,0.0,3.0,11,2019,47,2,False
2020-09-20,0.4701353552,0.2526501234,0.1812408388,0.1425208297,0.1176794634,0.09551835619,0.07644192752,0.05988543656,0.4693908274,0.2595940609,0.1864167996,0.1469526088,0.1202115136,0.09814023696,0.07830466317,0.06074941141,289756,22958,11527,8083,6179,4939,3808,1956,1,0.0,18.9,9,2020,38,6,True
2019-11-28,0.3208618522,0.1323360221,0.07575156855,0.05298956509,0.03852240998,0.03360247411,0.02960591846,0.02502016447,0.3583057237,0.1404338406,0.08216771982,0.05772073059,0.04184180391,0.03648511711,0.03087797926,0.02711791796,191309,13286,7499,4172,2139,1726,1693,1326,0,32.1,5.1,11,2019,48,3,False
2020-08-31,0.3133881844,0.1420746644,0.1007322113,0.08110683475,0.06317224918,0.05191715938,0.04051390748,0.03840419549,0.3195820599,0.144684778,0.1019511214,0.08114055055,0.06158570822,0.04980613979,0.03761400194,0.03565074054,217081,16212,11049,6974,4970,3570,1909,1355,0,22.2,26.0,8,2020,36,0,False
2019-10-16,0.3348459067,0.1285279591,0.07458722178,0.05074060634,0.04245442633,0.03513118603,0.02671094213,0.02140059388,0.3562667551,0.1328463261,0.07681636186,0.05164920342,0.04263424926,0.03392703449,0.02438382179,0.01915389768,214285,14156,5049,3221,3192,2067,1701,1025,1,0.0,13.8,10,2019,42,2,False
2020-08-15,0.4984077982,0.2624412172,0.2025535961,0.173027893,0.15270574,0.1363404795,0.123184071,0.1161912172,0.4922065965,0.2700971028,0.201423,0.1679534119,0.1448867513,0.1270997256,0.1140304498,0.1059603402,375373,46660,28416,22447,19498,13619,8021,6579,0,83.7,27.4,8,2020,33,5,True
2021-05-20,0.3301874954,0.1781938844,0.1404763317,0.1125711631,0.09390127654,0.08593550952,0.07856221941,0.07016321394,0.3171304531,0.1730384936,0.1334517416,0.1058573258,0.0865025422,0.07811528803,0.07092920987,0.06346342707,184455,20026,12245,7317,3485,3640,3420,2677,1,0.0,17.7,5,2021,20,3,False
2020-09-28,0.3097341536,0.1454072642,0.1035613588,0.08147456138,0.06436541043,0.05541433717,0.04685614071,0.03918206792,0.3151980942,0.1469469127,0.1006968178,0.07795530493,0.060026012,0.05099681021,0.0428647376,0.03491114149,216595,16115,10254,8008,5638,4764,3972,2381,1,0.0,18.4,9,2020,40,0,False
2020-08-25,0.3613823394,0.1785283349,0.1121426359,0.09593642802,0.0874929498,0.07941758435,0.07206977615,0.06869781698,0.3688974618,0.18629157,0.1127280379,0.09491341007,0.08554926224,0.07794136603,0.06927763371,0.0646846519,233255,15644,6956,6176,5425,4642,3781,3302,0,10.3,28.3,8,2020,35,1,False
2020-06-20,0.4955192216,0.2383019263,0.1660350363,0.129607761,0.1020079564,0.08299832496,0.06524218314,0.05665619765,0.4974794342,0.2471613485,0.1701166025,0.1337833914,0.1028231147,0.08136703547,0.06165439004,0.05126000978,339844,38383,22360,18115,14921,10161,5398,3808,0,1.1,22.5,6,2020,25,5,True
2021-02-24,0.3598767281,0.1907597411,0.1231455611,0.08686217479,0.07255786613,0.0613129046,0.04940314421,0.04229456761,0.3516779005,0.193624671,0.1228042432,0.0849928747,0.07004155215,0.05928816036,0.04867745641,0.04238828542,180983,17624,8705,4855,3792,2926,2518,2145,1,0.0,3.7,2,2021,8,2,False
2019-12-02,0.2938006688,0.1036464324,0.06505720367,0.05126771041,0.03997162202,0.03363685831,0.0273702844,0.02301095858,0.3019849233,0.09881603365,0.06287184355,0.04882213147,0.03835365391,0.03294801689,0.02739899864,0.02196864071,186939,11072,7677,4884,3605,2376,1603,927,0,18.3,3.9,12,2019,49,0,False
2020-01-05,0.4087518786,0.1953966855,0.1318824984,0.09960786686,0.07843166914,0.06601796148,0.05641055561,0.04958784243,0.4177392379,0.2017299752,0.1340559309,0.1015173828,0.07803476553,0.06451583795,0.0561890015,0.0487645097,226131,16752,9164,5299,3285,2726,2256,1968,0,0.5,2.2,1,2020,1,6,True
2020-12-02,0.2960976698,0.1406495403,0.08170273001,0.06011036584,0.05168537359,0.04476656363,0.03707434251,0.03185553655,0.3038293591,0.1476371473,0.08252664094,0.05983016398,0.05033262903,0.04289823619,0.03484375239,0.0287394929,160592,11717,5117,2487,2221,2092,1746,1071,0,0.1,4.0,12,2020,49,2,False
