Install,Time_stamp,Status,ID,Payment,Game_Name,Level_score,Time_score,PK,BOSS,Gacha,Attack,Mining
2022-05-12,2022-05-27,purchase,Jaime_521,4900,Mine Ground,83.15641956401733,71.31487472261593,48.5766647758659,57.25429737701817,14.831633993274783,88.94712960956532,72.99148944161999
2022-01-29,2022-02-08,purchase,Jasmine_839,9900,Mine Ground,85.17183874858299,73.12835387606691,78.09589995723368,74.24540189322738,31.625817219846294,33.573937647273915,77.70161864218032
2022-01-14,2022-01-23,purchase,Rebecca_530,4900,Mine Ground,82.92813008882865,70.78018407299942,46.00312510602578,69.21377434540331,37.87896153569682,76.0247612082574,61.38763721548163
2022-02-19,2022-03-08,purchase,Kimberly_648,9900,Mine Ground,83.70008391754111,77.17579800928928,36.722313264889664,67.65354398621685,26.107783387100977,86.27424862840782,65.0075214597035
2022-04-02,2022-04-11,purchase,Edward_512,19900,Mine Ground,86.33081855810262,76.6462277181326,63.98382089335641,74.98605997138725,47.46928373445804,35.454266219239656,72.01543392218899
2022-01-18,2022-01-27,purchase,Kathryn_782,4900,Mine Ground,92.70254946156952,68.75824892692525,35.387012896367985,49.00016412995638,75.60698741203369,25.615002306528726,72.9597412448776
2022-02-19,2022-02-26,purchase,Kelsey_019,900,Mine Ground,88.36366067521311,73.00417503133751,68.9547525451299,76.6829139706423,52.76970271924102,26.76351956571166,71.76773524170683
2022-03-05,2022-03-19,purchase,Rebecca_146,4900,Mine Ground,85.70589027488046,68.78118472866451,60.82431459218269,42.57895968837911,85.00322849331015,37.2133456297849,73.7419674753918
2022-03-18,2022-04-04,purchase,Meredith_585,29900,Mine Ground,87.38812038193728,74.22474409002298,69.3033264219556,76.69094105196233,17.711364617093487,9.621336504222429,80.87609224560312
2022-03-04,2022-03-14,purchase,Jessica_306,19900,Mine Ground,88.3284983650153,77.91268706136518,43.61833669118161,73.19032092403329,27.44653413618868,86.56701923327661,74.28497834896508
2022-04-04,2022-04-14,purchase,Tracey_525,4900,Mine Ground,87.51527857293455,71.52526025939302,39.12243871284012,39.447764496349485,71.74745881418573,32.93522169010514,77.33702207083135
2022-03-03,2022-03-06,purchase,Robert_924,900,Mine Ground,86.91873427393365,71.61306420558303,41.19452263465178,67.15803876388422,32.50247529386709,87.29398774723819,71.40307186550312
2022-04-28,2022-05-06,purchase,Ricky_608,9900,Mine Ground,86.86687209178969,78.61656084260369,59.886266056882285,65.58324565642022,43.49646673184214,13.839108157590609,75.14773956915948
2022-03-15,2022-03-18,purchase,Donna_758,9900,Mine Ground,86.9331126642372,75.45861403987777,46.933365680135424,38.88418886788227,75.31750659106243,42.67276063325053,64.17476410398149
2022-03-12,2022-04-01,purchase,Andrew_222,900,Mine Ground,87.7237080782012,74.02388543007486,52.01636799448623,43.08874915816559,76.10757868133183,41.27407074192895,70.917814936674
2022-03-02,2022-03-05,purchase,Anthony_191,900,Mine Ground,92.4050403087999,70.38800429908844,69.27833093706718,83.60851052569282,43.81922977590974,22.482599261382923,69.30332506570228
2022-01-20,2022-02-06,purchase,Timothy_409,4900,Mine Ground,81.61815723152881,79.94413298164478,45.16145228061317,65.73041636482066,33.474489820660686,91.73522810906994,69.23180660691682
2022-02-02,2022-02-22,purchase,Chelsea_159,29900,Mine Ground,80.48894501985932,78.33817746000426,47.394627859257845,35.307118115755856,75.24455309180058,33.58269402256786,82.00985191473633
2022-02-01,2022-02-20,purchase,Diana_883,900,Mine Ground,81.96156760656545,68.21021292259447,48.72663017853439,54.19517994165589,24.338564636879983,89.11070394806018,61.19130061506064
2022-01-17,2022-02-04,purchase,Victoria_326,9900,Mine Ground,84.1039620023246,70.04187109201145,44.323483617199415,66.54470546212117,38.52588674661976,81.879725367123,62.4401206974463
2022-04-28,2022-04-29,purchase,Linda_539,4900,Mine Ground,90.4000410071368,73.39149708751786,69.96481978944023,70.56008150168218,41.83462075368013,28.99149918168267,70.35179028046161
2022-01-09,2022-01-12,purchase,David_978,29900,Mine Ground,89.36140942762265,78.47740409228145,45.79842681862025,39.1779526454358,82.44541186311679,37.49914873413241,82.34738535455001
2022-04-27,2022-05-04,purchase,Jesus_381,9900,Mine Ground,89.31810201711762,73.53471473368013,51.30398860432841,29.398233990646894,79.89616443303174,45.845408732723776,76.78333527033135
2022-01-21,2022-01-22,purchase,Gregory_740,9900,Mine Ground,84.51802179733997,73.1634942344553,76.02008959963734,61.20692986281642,39.512481513841855,27.83133915308902,74.50551572413717
2022-01-06,2022-01-07,purchase,Cindy_517,4900,Mine Ground,80.97551652043417,71.96890757007128,61.8924462116273,37.95649540906796,63.06572534602718,33.09003276866509,81.74739801749375
2022-04-25,2022-05-02,purchase,Eric_319,900,Mine Ground,87.91481259540495,69.76414283751899,85.04975331843697,83.13777991415502,36.579271034085394,38.00403019656121,70.98062084051837
2022-02-10,2022-02-15,purchase,Jennifer_116,900,Mine Ground,86.53660255587104,71.82048882522189,38.46052551324818,67.94818908380806,36.9848601997778,89.11097337824808,66.06964723169975
2022-01-27,2022-02-05,purchase,Kelsey_435,900,Mine Ground,77.83725429819096,79.87959298221242,51.12009182238975,39.26145357301646,84.48637575224201,44.85357827410852,80.08615859049239
